AwayTeam,Date,FTAG,FTHG,FTR,HomeTeam
Leicester,2018-08-10,1,2,H,Man United
Tottenham,2018-08-11,2,1,A,Newcastle
Crystal Palace,2018-08-11,2,0,A,Fulham
Chelsea,2018-08-11,3,0,A,Huddersfield
Brighton,2018-08-11,0,2,H,Watford
Cardiff,2018-08-11,0,2,H,Bournemouth
Everton,2018-08-11,2,2,D,Wolves
West Ham,2018-08-12,0,4,H,Liverpool
Burnley,2018-08-12,0,0,D,Southampton
Man City,2018-08-12,2,0,A,Arsenal
Newcastle,2018-08-18,0,0,D,Cardiff
Fulham,2018-08-18,1,3,H,Tottenham
Southampton,2018-08-18,1,2,H,Everton
Wolves,2018-08-18,0,2,H,Leicester
Bournemouth,2018-08-18,2,1,A,West Ham
Arsenal,2018-08-18,2,3,H,Chelsea
Huddersfield,2018-08-19,1,6,H,Man City
Watford,2018-08-19,3,1,A,Burnley
Man United,2018-08-19,2,3,H,Brighton
Liverpool,2018-08-20,2,0,A,Crystal Palace
Man City,2018-08-25,1,1,D,Wolves
West Ham,2018-08-25,1,3,H,Arsenal
Cardiff,2018-08-25,0,0,D,Huddersfield
Leicester,2018-08-25,2,1,A,Southampton
Everton,2018-08-25,2,2,D,Bournemouth
Brighton,2018-08-25,0,1,H,Liverpool
Crystal Palace,2018-08-26,1,2,H,Watford
Burnley,2018-08-26,2,4,H,Fulham
Chelsea,2018-08-26,2,1,A,Newcastle
Tottenham,2018-08-27,3,0,A,Man United
Liverpool,2018-09-01,2,1,A,Leicester
Bournemouth,2018-09-01,0,2,H,Chelsea
Huddersfield,2018-09-01,1,1,D,Everton
Wolves,2018-09-01,1,0,A,West Ham
Southampton,2018-09-01,2,0,A,Crystal Palace
Fulham,2018-09-01,2,2,D,Brighton
Newcastle,2018-09-01,1,2,H,Man City
Arsenal,2018-09-02,3,2,A,Cardiff
Man United,2018-09-02,2,0,A,Burnley
Tottenham,2018-09-02,1,2,H,Watford
Liverpool,2018-09-15,2,1,A,Tottenham
Fulham,2018-09-15,0,3,H,Man City
Arsenal,2018-09-15,2,1,A,Newcastle
Cardiff,2018-09-15,1,4,H,Chelsea
Crystal Palace,2018-09-15,1,0,A,Huddersfield
Leicester,2018-09-15,2,4,H,Bournemouth
Man United,2018-09-15,2,1,A,Watford
Burnley,2018-09-16,0,1,H,Wolves
West Ham,2018-09-16,3,1,A,Everton
Brighton,2018-09-17,2,2,D,Southampton
Watford,2018-09-22,1,1,D,Fulham
Southampton,2018-09-22,0,3,H,Liverpool
Wolves,2018-09-22,1,1,D,Man United
Huddersfield,2018-09-22,1,3,H,Leicester
Bournemouth,2018-09-22,0,4,H,Burnley
Man City,2018-09-22,5,0,A,Cardiff
Newcastle,2018-09-22,0,0,D,Crystal Palace
Tottenham,2018-09-22,2,1,A,Brighton
Chelsea,2018-09-23,0,0,D,West Ham
Everton,2018-09-23,0,2,H,Arsenal
Man United,2018-09-29,1,3,H,West Ham
Southampton,2018-09-29,0,2,H,Wolves
Brighton,2018-09-29,0,2,H,Man City
Leicester,2018-09-29,2,0,A,Newcastle
Watford,2018-09-29,0,2,H,Arsenal
Fulham,2018-09-29,0,3,H,Everton
Tottenham,2018-09-29,2,0,A,Huddersfield
Liverpool,2018-09-29,1,1,D,Chelsea
Burnley,2018-09-30,2,1,A,Cardiff
Crystal Palace,2018-10-01,1,2,H,Bournemouth
West Ham,2018-10-05,0,1,H,Brighton
Cardiff,2018-10-06,0,1,H,Tottenham
Everton,2018-10-06,2,1,A,Leicester
Huddersfield,2018-10-06,1,1,D,Burnley
Wolves,2018-10-06,1,0,A,Crystal Palace
Bournemouth,2018-10-06,4,0,A,Watford
Newcastle,2018-10-06,2,3,H,Man United
Arsenal,2018-10-07,5,1,A,Fulham
Chelsea,2018-10-07,3,0,A,Southampton
Man City,2018-10-07,0,0,D,Liverpool
Man United,2018-10-20,2,2,D,Chelsea
Watford,2018-10-20,2,0,A,Wolves
Burnley,2018-10-20,0,5,H,Man City
Brighton,2018-10-20,1,0,A,Newcastle
Fulham,2018-10-20,2,4,H,Cardiff
Tottenham,2018-10-20,1,0,A,West Ham
Southampton,2018-10-20,0,0,D,Bournemouth
Liverpool,2018-10-20,1,0,A,Huddersfield
Crystal Palace,2018-10-21,0,2,H,Everton
Leicester,2018-10-22,1,3,H,Arsenal
Bournemouth,2018-10-27,3,0,A,Fulham
Cardiff,2018-10-27,1,4,H,Liverpool
Newcastle,2018-10-27,0,0,D,Southampton
Wolves,2018-10-27,0,1,H,Brighton
Huddersfield,2018-10-27,0,3,H,Watford
West Ham,2018-10-27,1,1,D,Leicester
Chelsea,2018-10-28,4,0,A,Burnley
Arsenal,2018-10-28,2,2,D,Crystal Palace
Everton,2018-10-28,1,2,H,Man United
Man City,2018-10-29,1,0,A,Tottenham
Man United,2018-11-03,2,1,A,Bournemouth
Watford,2018-11-03,0,1,H,Newcastle
Brighton,2018-11-03,1,3,H,Everton
Leicester,2018-11-03,1,0,A,Cardiff
Burnley,2018-11-03,2,4,H,West Ham
Liverpool,2018-11-03,1,1,D,Arsenal
Tottenham,2018-11-03,3,2,A,Wolves
Southampton,2018-11-04,1,6,H,Man City
Crystal Palace,2018-11-04,1,3,H,Chelsea
Fulham,2018-11-05,0,1,H,Huddersfield
Brighton,2018-11-10,1,2,H,Cardiff
Bournemouth,2018-11-10,1,2,H,Newcastle
Burnley,2018-11-10,0,0,D,Leicester
West Ham,2018-11-10,1,1,D,Huddersfield
Watford,2018-11-10,1,1,D,Southampton
Tottenham,2018-11-10,1,0,A,Crystal Palace
Fulham,2018-11-11,0,2,H,Liverpool
Everton,2018-11-11,0,0,D,Chelsea
Man United,2018-11-11,1,3,H,Man City
Wolves,2018-11-11,1,1,D,Arsenal
Southampton,2018-11-24,2,3,H,Fulham
Cardiff,2018-11-24,0,1,H,Everton
Crystal Palace,2018-11-24,0,0,D,Man United
Man City,2018-11-24,4,0,A,West Ham
Leicester,2018-11-24,1,1,D,Brighton
Liverpool,2018-11-24,3,0,A,Watford
Chelsea,2018-11-24,1,3,H,Tottenham
Arsenal,2018-11-25,2,1,A,Bournemouth
Huddersfield,2018-11-25,2,0,A,Wolves
Newcastle,2018-11-26,2,1,A,Burnley
Wolves,2018-11-30,1,2,H,Cardiff
Bournemouth,2018-12-01,1,3,H,Man City
West Ham,2018-12-01,3,0,A,Newcastle
Watford,2018-12-01,0,2,H,Leicester
Brighton,2018-12-01,2,1,A,Huddersfield
Burnley,2018-12-01,0,2,H,Crystal Palace
Man United,2018-12-01,2,2,D,Southampton
Fulham,2018-12-02,0,2,H,Chelsea
Tottenham,2018-12-02,2,4,H,Arsenal
Everton,2018-12-02,0,1,H,Liverpool
Cardiff,2018-12-04,1,3,H,West Ham
Crystal Palace,2018-12-04,1,3,H,Brighton
Huddersfield,2018-12-04,1,2,H,Bournemouth
Man City,2018-12-04,2,1,A,Watford
Chelsea,2018-12-05,1,2,H,Wolves
Leicester,2018-12-05,1,1,D,Fulham
Liverpool,2018-12-05,3,1,A,Burnley
Newcastle,2018-12-05,1,1,D,Everton
Arsenal,2018-12-05,2,2,D,Man United
Southampton,2018-12-05,1,3,H,Tottenham
Liverpool,2018-12-08,4,0,A,Bournemouth
Huddersfield,2018-12-08,0,1,H,Arsenal
Fulham,2018-12-08,1,4,H,Man United
Brighton,2018-12-08,0,1,H,Burnley
Southampton,2018-12-08,0,1,H,Cardiff
Crystal Palace,2018-12-08,2,3,H,West Ham
Man City,2018-12-08,0,2,H,Chelsea
Tottenham,2018-12-08,2,0,A,Leicester
Wolves,2018-12-09,2,1,A,Newcastle
Watford,2018-12-10,2,2,D,Everton
Everton,2018-12-15,1,3,H,Man City
Bournemouth,2018-12-15,0,2,H,Wolves
Burnley,2018-12-15,0,1,H,Tottenham
Newcastle,2018-12-15,1,0,A,Huddersfield
Leicester,2018-12-15,0,1,H,Crystal Palace
Cardiff,2018-12-15,2,3,H,Watford
West Ham,2018-12-15,2,0,A,Fulham
Arsenal,2018-12-16,2,3,H,Southampton
Chelsea,2018-12-16,2,1,A,Brighton
Man United,2018-12-16,1,3,H,Liverpool
Liverpool,2018-12-21,2,0,A,Wolves
Burnley,2018-12-22,1,3,H,Arsenal
Crystal Palace,2018-12-22,3,2,A,Man City
Fulham,2018-12-22,0,0,D,Newcastle
Leicester,2018-12-22,1,0,A,Chelsea
Southampton,2018-12-22,3,1,A,Huddersfield
Watford,2018-12-22,2,0,A,West Ham
Brighton,2018-12-22,0,2,H,Bournemouth
Man United,2018-12-22,5,1,A,Cardiff
